时间,通道,亮度,设置时间
2025/07/01 09:02:34:915,4,0,24ms
2025/07/01 09:02:35:064,4,255,23ms
2025/07/01 09:02:35:157,4,0,23ms
2025/07/01 09:02:36:447,5,255,23ms
2025/07/01 09:02:36:606,5,0,23ms
2025/07/01 09:02:36:637,4,255,23ms
2025/07/01 09:02:36:721,4,0,23ms
2025/07/01 09:02:36:993,5,255,23ms
2025/07/01 09:02:37:157,5,0,24ms
2025/07/01 09:02:37:188,4,255,23ms
2025/07/01 09:02:37:272,4,0,24ms
2025/07/01 09:02:47:319,3,255,24ms
2025/07/01 09:02:47:381,3,0,23ms
2025/07/01 09:02:47:412,3,0,23ms
2025/07/01 09:02:47:443,2,255,23ms
2025/07/01 09:02:47:554,3,0,23ms
2025/07/01 09:02:47:586,2,0,25ms
2025/07/01 09:02:48:898,2,255,24ms
2025/07/01 09:02:48:993,2,0,24ms
2025/07/01 09:03:12:596,2,255,23ms
2025/07/01 09:03:12:710,2,0,23ms
2025/07/01 09:03:13:478,3,90,23ms
2025/07/01 09:03:13:509,2,255,24ms
2025/07/01 09:03:13:574,3,0,24ms
2025/07/01 09:03:13:606,2,0,24ms
2025/07/01 09:03:14:168,6,255,23ms
2025/07/01 09:03:14:235,6,0,24ms
2025/07/01 09:03:14:622,6,255,23ms
2025/07/01 09:03:14:689,6,0,23ms
2025/07/01 09:03:19:874,2,255,24ms
2025/07/01 09:03:19:969,2,0,23ms
2025/07/01 09:03:20:454,3,255,23ms
2025/07/01 09:03:20:521,3,0,23ms
2025/07/01 09:03:20:552,3,0,23ms
2025/07/01 09:03:20:584,2,255,24ms
2025/07/01 09:03:20:693,3,0,23ms
2025/07/01 09:03:20:725,2,0,24ms
2025/07/01 09:03:21:993,1,255,24ms
2025/07/01 09:03:22:091,1,0,24ms
2025/07/01 09:03:22:121,4,255,23ms
2025/07/01 09:03:22:214,4,0,23ms
2025/07/01 09:03:22:361,4,255,24ms
2025/07/01 09:03:22:453,4,0,24ms
2025/07/01 09:03:23:757,5,255,23ms
2025/07/01 09:03:23:918,5,0,23ms
2025/07/01 09:03:23:949,4,255,23ms
2025/07/01 09:03:24:034,4,0,24ms
2025/07/01 09:03:24:372,5,255,23ms
2025/07/01 09:03:24:536,5,0,24ms
2025/07/01 09:03:24:566,4,255,23ms
2025/07/01 09:03:24:651,4,0,24ms
2025/07/01 09:03:34:531,3,255,24ms
2025/07/01 09:03:34:593,3,0,23ms
2025/07/01 09:03:34:624,3,0,23ms
2025/07/01 09:03:34:655,2,255,23ms
2025/07/01 09:03:34:763,3,0,23ms
2025/07/01 09:03:34:794,2,0,24ms
2025/07/01 09:14:14:691,2,255,24ms
2025/07/01 09:14:14:807,2,0,25ms
2025/07/01 09:14:15:557,3,90,23ms
2025/07/01 09:14:15:588,2,255,23ms
2025/07/01 09:14:15:658,3,0,24ms
2025/07/01 09:14:15:690,2,0,24ms
2025/07/01 09:14:16:275,6,255,23ms
2025/07/01 09:14:16:342,6,0,23ms
2025/07/01 09:14:16:735,6,255,23ms
2025/07/01 09:14:16:803,6,0,23ms
2025/07/01 09:14:22:011,2,255,24ms
2025/07/01 09:14:22:111,2,0,24ms
2025/07/01 09:14:22:598,3,255,23ms
2025/07/01 09:14:22:666,3,0,24ms
2025/07/01 09:14:22:696,2,255,23ms
2025/07/01 09:14:22:803,2,0,24ms
2025/07/01 09:15:29:313,1,255,24ms
2025/07/01 09:15:29:410,1,0,24ms
2025/07/01 09:15:29:441,4,255,23ms
2025/07/01 09:15:29:535,4,0,23ms
2025/07/01 09:15:29:682,4,255,24ms
2025/07/01 09:15:29:774,4,0,23ms
2025/07/01 09:15:31:078,5,255,23ms
2025/07/01 09:15:31:238,5,0,23ms
2025/07/01 09:15:31:269,4,255,24ms
2025/07/01 09:15:31:353,4,0,23ms
2025/07/01 09:15:31:659,5,255,24ms
2025/07/01 09:15:31:820,5,0,23ms
2025/07/01 09:15:31:851,4,255,24ms
2025/07/01 09:15:31:936,4,0,24ms
2025/07/01 09:15:41:728,3,255,23ms
2025/07/01 09:15:41:790,3,0,24ms
2025/07/01 09:15:41:821,3,0,23ms
2025/07/01 09:15:41:852,2,255,23ms
2025/07/01 09:15:41:960,3,0,24ms
2025/07/01 09:15:41:991,2,0,24ms
2025/07/01 09:15:43:346,2,255,24ms
2025/07/01 09:15:43:437,2,0,23ms
2025/07/01 09:15:44:631,2,255,24ms
2025/07/01 09:15:44:742,2,0,23ms
2025/07/01 09:15:45:423,3,90,24ms
2025/07/01 09:15:45:454,2,255,24ms
2025/07/01 09:15:45:520,3,0,23ms
2025/07/01 09:15:45:551,2,0,24ms
2025/07/01 09:15:46:126,6,255,24ms
2025/07/01 09:15:46:194,6,0,23ms
2025/07/01 09:15:46:576,6,255,24ms
2025/07/01 09:15:46:643,6,0,23ms
2025/07/01 09:17:20:991,2,255,24ms
2025/07/01 09:17:21:092,2,0,24ms
2025/07/01 09:17:21:577,3,255,23ms
2025/07/01 09:17:21:646,3,0,24ms
2025/07/01 09:17:21:676,2,255,23ms
2025/07/01 09:17:21:784,2,0,23ms
2025/07/01 09:17:23:053,1,255,24ms
2025/07/01 09:17:23:151,1,0,24ms
2025/07/01 09:17:23:182,4,255,23ms
2025/07/01 09:17:23:276,4,0,23ms
2025/07/01 09:17:23:423,4,255,24ms
