时间,采集时间
2025/06/25 15:10:38:719,35ms
2025/06/25 15:10:40:134,70ms
2025/06/25 15:10:40:269,56ms
2025/06/25 15:10:40:526,60ms
2025/06/25 15:10:41:984,120ms
2025/06/25 15:10:42:100,40ms
2025/06/25 15:10:42:542,120ms
2025/06/25 15:10:42:657,40ms
2025/06/25 15:10:52:358,27ms
2025/06/25 15:10:52:498,35ms
2025/06/25 15:11:32:476,77ms
2025/06/25 15:11:33:328,27ms
2025/06/25 15:11:34:005,32ms
2025/06/25 15:11:34:541,33ms
2025/06/25 15:11:40:020,128ms
2025/06/25 15:11:40:593,44ms
2025/06/25 15:11:40:733,35ms
2025/06/25 15:11:42:145,70ms
2025/06/25 15:11:42:280,56ms
2025/06/25 15:11:42:537,60ms
2025/06/25 15:11:43:997,120ms
2025/06/25 15:11:44:112,40ms
2025/06/25 15:11:44:589,120ms
2025/06/25 15:11:44:704,40ms
2025/06/25 15:11:54:295,27ms
2025/06/25 15:11:54:432,36ms
2025/06/25 15:11:55:875,52ms
2025/06/25 15:12:56:352,77ms
2025/06/25 15:12:57:159,27ms
2025/06/25 15:12:57:849,32ms
2025/06/25 15:12:58:347,32ms
2025/06/25 15:13:03:831,128ms
2025/06/25 15:13:04:404,44ms
2025/06/25 15:13:04:541,35ms
2025/06/25 15:13:05:948,70ms
2025/06/25 15:13:06:085,56ms
2025/06/25 15:13:06:334,60ms
2025/06/25 15:13:07:770,120ms
2025/06/25 15:13:07:884,40ms
2025/06/25 15:13:08:380,120ms
2025/06/25 15:13:08:494,40ms
2025/06/25 15:13:18:014,27ms
2025/06/25 15:13:18:153,35ms
2025/06/25 15:14:31:094,77ms
2025/06/25 15:14:31:929,27ms
2025/06/25 15:14:32:623,32ms
2025/06/25 15:14:33:141,32ms
2025/06/25 15:14:38:613,128ms
2025/06/25 15:14:39:189,44ms
2025/06/25 15:14:39:327,35ms
2025/06/25 15:14:40:731,70ms
2025/06/25 15:14:40:870,56ms
2025/06/25 15:14:41:124,60ms
2025/06/25 15:14:42:544,120ms
2025/06/25 15:14:42:655,40ms
2025/06/25 15:14:43:104,120ms
2025/06/25 15:14:43:216,40ms
2025/06/25 15:14:52:605,27ms
2025/06/25 15:14:52:741,35ms
2025/06/25 15:14:54:180,52ms
2025/06/25 15:16:21:561,77ms
2025/06/25 15:16:22:368,27ms
2025/06/25 15:16:23:044,32ms
2025/06/25 15:16:23:483,32ms
2025/06/25 15:16:28:867,128ms
2025/06/25 15:16:29:434,44ms
2025/06/25 15:16:29:574,35ms
2025/06/25 15:16:30:986,70ms
2025/06/25 15:16:31:120,56ms
2025/06/25 15:16:31:375,60ms
2025/06/25 15:16:32:840,120ms
2025/06/25 15:16:32:953,40ms
2025/06/25 15:16:33:402,119ms
2025/06/25 15:16:33:514,40ms
2025/06/25 15:16:43:540,27ms
2025/06/25 15:16:43:676,35ms
2025/06/25 15:18:02:839,77ms
2025/06/25 15:18:03:622,27ms
2025/06/25 15:18:04:302,32ms
2025/06/25 15:18:04:782,32ms
2025/06/25 15:18:10:214,128ms
2025/06/25 15:18:10:786,44ms
2025/06/25 15:18:10:923,35ms
2025/06/25 15:18:12:332,70ms
2025/06/25 15:18:12:472,56ms
2025/06/25 15:18:12:726,60ms
2025/06/25 15:18:14:171,120ms
2025/06/25 15:18:14:285,40ms
2025/06/25 15:18:14:704,120ms
2025/06/25 15:18:14:820,40ms
2025/06/25 15:18:24:613,27ms
2025/06/25 15:18:24:750,36ms
2025/06/25 15:18:26:196,52ms
2025/06/25 15:20:01:345,77ms
2025/06/25 15:20:02:129,27ms
2025/06/25 15:20:02:795,32ms
2025/06/25 15:20:03:247,32ms
2025/06/25 15:20:08:675,128ms
2025/06/25 15:20:09:248,44ms
2025/06/25 15:20:09:389,35ms
2025/06/25 15:20:10:801,70ms
2025/06/25 15:20:10:937,56ms
2025/06/25 15:20:11:201,60ms
2025/06/25 15:20:12:653,120ms
2025/06/25 15:20:12:763,40ms
2025/06/25 15:20:13:248,120ms
2025/06/25 15:20:13:363,40ms
2025/06/25 15:20:23:252,27ms
2025/06/25 15:20:23:388,35ms
2025/06/25 15:21:43:480,78ms
2025/06/25 15:21:44:321,26ms
2025/06/25 15:21:45:001,32ms
2025/06/25 15:21:45:528,32ms
2025/06/25 15:21:50:990,128ms
2025/06/25 15:21:51:565,44ms
2025/06/25 15:21:51:702,35ms
2025/06/25 15:21:53:117,70ms
2025/06/25 15:21:53:253,56ms
2025/06/25 15:21:53:517,60ms
2025/06/25 15:21:54:972,120ms
2025/06/25 15:21:55:083,40ms
2025/06/25 15:21:55:563,120ms
2025/06/25 15:21:55:677,40ms
2025/06/25 15:22:05:457,27ms
2025/06/25 15:22:05:598,35ms
2025/06/25 15:22:07:043,52ms
2025/06/25 15:23:32:286,77ms
2025/06/25 15:23:33:080,27ms
2025/06/25 15:23:33:770,32ms
2025/06/25 15:23:34:172,32ms
2025/06/25 15:23:39:526,128ms
2025/06/25 15:23:40:102,44ms
2025/06/25 15:23:40:242,35ms
2025/06/25 15:23:41:657,70ms
2025/06/25 15:23:41:796,56ms
2025/06/25 15:23:42:051,60ms
2025/06/25 15:23:43:485,120ms
2025/06/25 15:23:43:598,40ms
2025/06/25 15:23:44:057,120ms
2025/06/25 15:23:44:173,40ms
2025/06/25 15:23:53:848,27ms
2025/06/25 15:23:53:989,35ms
2025/06/25 15:26:15:049,77ms
2025/06/25 15:26:15:858,27ms
2025/06/25 15:26:16:533,32ms
2025/06/25 15:26:16:962,32ms
2025/06/25 15:26:22:369,128ms
2025/06/25 15:26:22:936,44ms
2025/06/25 15:26:23:078,35ms
2025/06/25 15:26:24:494,70ms
2025/06/25 15:26:24:629,56ms
2025/06/25 15:26:24:883,60ms
2025/06/25 15:26:26:326,120ms
2025/06/25 15:26:26:442,40ms
2025/06/25 15:26:26:915,120ms
2025/06/25 15:26:27:027,40ms
2025/06/25 15:26:36:588,27ms
2025/06/25 15:26:36:728,35ms
2025/06/25 15:26:38:179,52ms
2025/06/25 15:28:16:414,77ms
2025/06/25 15:28:17:250,27ms
2025/06/25 15:28:17:930,32ms
2025/06/25 15:28:18:367,32ms
2025/06/25 15:28:23:738,128ms
2025/06/25 15:28:24:308,44ms
2025/06/25 15:28:24:443,35ms
2025/06/25 15:28:25:863,70ms
2025/06/25 15:28:26:002,56ms
2025/06/25 15:28:26:257,60ms
2025/06/25 15:28:27:702,120ms
2025/06/25 15:28:27:814,40ms
2025/06/25 15:28:28:256,120ms
2025/06/25 15:28:28:367,40ms
2025/06/25 15:28:38:055,27ms
2025/06/25 15:28:38:192,36ms
2025/06/25 15:30:31:129,77ms
2025/06/25 15:30:31:930,27ms
2025/06/25 15:30:32:615,32ms
2025/06/25 15:30:33:018,32ms
2025/06/25 15:30:38:362,128ms
2025/06/25 15:30:38:939,45ms
2025/06/25 15:30:39:080,35ms
2025/06/25 15:30:40:490,70ms
2025/06/25 15:30:40:624,56ms
2025/06/25 15:30:40:875,60ms
2025/06/25 15:30:42:324,120ms
2025/06/25 15:30:42:441,40ms
2025/06/25 15:30:42:925,120ms
2025/06/25 15:30:43:035,40ms
2025/06/25 15:30:52:842,27ms
2025/06/25 15:30:52:978,35ms
2025/06/25 15:30:54:428,53ms
2025/06/25 15:32:29:044,77ms
2025/06/25 15:32:29:923,26ms
2025/06/25 15:32:30:601,32ms
2025/06/25 15:32:31:090,32ms
2025/06/25 15:32:36:514,128ms
2025/06/25 15:32:37:089,44ms
2025/06/25 15:32:37:226,35ms
2025/06/25 15:32:38:634,69ms
2025/06/25 15:32:38:770,56ms
2025/06/25 15:32:39:024,60ms
2025/06/25 15:32:40:487,120ms
2025/06/25 15:32:40:599,40ms
2025/06/25 15:32:41:022,120ms
2025/06/25 15:32:41:136,40ms
2025/06/25 15:32:51:002,27ms
2025/06/25 15:32:51:143,35ms
2025/06/25 15:34:30:799,77ms
2025/06/25 15:34:31:640,26ms
2025/06/25 15:34:32:307,32ms
2025/06/25 15:34:32:764,32ms
2025/06/25 15:34:38:188,128ms
2025/06/25 15:34:38:761,44ms
2025/06/25 15:34:38:896,35ms
2025/06/25 15:34:40:321,70ms
2025/06/25 15:34:40:456,56ms
2025/06/25 15:34:40:720,60ms
2025/06/25 15:34:42:169,120ms
2025/06/25 15:34:42:281,40ms
2025/06/25 15:34:42:731,120ms
2025/06/25 15:34:42:842,40ms
2025/06/25 15:34:52:653,27ms
2025/06/25 15:34:52:788,35ms
2025/06/25 15:34:54:237,52ms
2025/06/25 15:36:32:628,77ms
2025/06/25 15:36:33:480,28ms
2025/06/25 15:36:34:158,32ms
2025/06/25 15:36:34:679,32ms
2025/06/25 15:36:40:118,128ms
2025/06/25 15:36:40:693,44ms
2025/06/25 15:36:40:833,35ms
2025/06/25 15:36:42:245,70ms
2025/06/25 15:36:42:379,56ms
2025/06/25 15:36:42:637,60ms
2025/06/25 15:36:44:090,120ms
2025/06/25 15:36:44:202,40ms
2025/06/25 15:36:44:716,119ms
2025/06/25 15:36:44:826,40ms
2025/06/25 15:36:54:383,27ms
2025/06/25 15:36:54:521,35ms
2025/06/25 15:38:07:243,77ms
2025/06/25 15:38:08:011,27ms
2025/06/25 15:38:08:704,32ms
2025/06/25 15:38:09:127,32ms
2025/06/25 15:38:14:493,128ms
2025/06/25 15:38:15:068,44ms
2025/06/25 15:38:15:204,35ms
2025/06/25 15:38:16:621,70ms
2025/06/25 15:38:16:756,56ms
2025/06/25 15:38:17:010,60ms
2025/06/25 15:38:18:452,120ms
2025/06/25 15:38:18:571,40ms
2025/06/25 15:38:19:050,120ms
2025/06/25 15:38:19:162,40ms
2025/06/25 15:38:28:924,27ms
2025/06/25 15:38:29:060,35ms
2025/06/25 15:38:30:534,52ms
2025/06/25 15:39:56:073,77ms
2025/06/25 15:39:56:839,27ms
2025/06/25 15:39:57:516,32ms
2025/06/25 15:39:57:941,32ms
2025/06/25 15:40:03:322,127ms
2025/06/25 15:40:03:897,44ms
2025/06/25 15:40:04:033,35ms
2025/06/25 15:40:05:453,70ms
2025/06/25 15:40:05:588,56ms
