time,QuakeData_X,QuakeData_Y,QuakeData_Z,Temperature,Axis_CT1,Axis_CT2,Axis_CT3,Axis_CT4,Axis_CT5,Axis_CT6,Axis_CT7,Axis_CT8,Axis_CT9,Axis_CT10,Axis_CT11,Axis_CT12,Axis_CT13,Axis_CT14,Axis_CT15,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,Torque8,Torque9,Torque10,Torque11,Torque12,Torque13,Torque14,Torque15
00:37:45,0.0,0.03,0.04,30.3,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-157,128,1,-37,-24,-444,-37,-1,-13,-129,0,0,0,0
00:38:15,0.0,0.11,0.03,30.3,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-156,129,2,-37,-24,-444,-38,-1,-12,-129,0,0,0,0
00:38:45,0.0,0.03,0.04,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-157,128,2,-37,-24,-444,-38,-1,-12,-129,0,0,0,0
00:39:15,0.0,0.02,0.04,30.3,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-156,128,1,-38,-25,-446,-39,0,-13,-128,0,0,0,0
00:39:45,0.0,0.03,0.07,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-157,129,2,-37,-23,-445,-36,-1,-12,-128,0,0,0,0
00:40:15,0.0,0.03,0.07,30.3,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-157,129,2,-38,-23,-444,-38,-3,-13,-130,0,0,0,0
00:40:45,0.0,0.01,0.05,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-156,128,1,-40,-24,-446,-37,-1,-12,-128,0,0,0,0
00:41:15,0.0,0.01,0.02,30.5,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-156,128,1,-37,-24,-445,-38,-2,-12,-128,0,0,0,0
00:41:45,0.0,0.03,0.04,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-11,-155,128,1,-38,-23,-443,-37,0,-12,-129,0,0,0,0
00:42:15,0.0,0.0,0.02,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-156,129,1,-38,-23,-444,-38,0,-12,-129,0,0,0,0
00:42:45,0.0,0.03,0.03,30.3,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-156,129,1,-37,-22,-444,-38,-2,-12,-129,0,0,0,0
00:43:15,0.0,0.04,0.08,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-157,127,1,-38,-24,-443,-37,-1,-12,-129,0,0,0,0
00:43:45,0.0,0.0,0.02,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-155,128,1,-37,-24,-445,-37,-1,-12,-128,0,0,0,0
00:44:15,0.0,0.04,0.03,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-156,128,2,-37,-24,-443,-38,-1,-12,-129,0,0,0,0
00:44:45,0.0,0.03,0.06,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-156,129,1,-37,-24,-443,-37,-2,-12,-129,0,0,0,0
00:45:15,0.0,0.01,0.03,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-156,127,1,-38,-23,-444,-37,0,-12,-128,0,0,0,0
00:45:45,0.01,0.02,0.03,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-157,128,1,-39,-23,-444,-38,-1,-12,-129,0,0,0,0
00:46:15,0.0,0.04,0.03,30.3,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-156,127,1,-38,-23,-443,-38,-3,-12,-129,0,0,0,0
00:46:45,0.0,0.0,0.05,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-157,127,1,-37,-23,-441,-38,-2,-12,-128,0,0,0,0
00:47:15,0.0,0.02,0.03,30.4,0.386,0.233,0.685,0.67,0.061,0.246,0.18,0.154,0.245,0.139,0.139,0.066,0.061,0.206,0.245,-10,-155,129,1,-37,-23,-443,-37,-1,-12,-128,0,0,0,0
