time,QuakeData_X,QuakeData_Y,QuakeData_Z,Temperature,Axis_CT1,Axis_CT2,Axis_CT3,Axis_CT4,Axis_CT5,Axis_CT6,Axis_CT7,Axis_CT8,Axis_CT9,Axis_CT10,Axis_CT11,Axis_CT12,Axis_CT13,Axis_CT14,Axis_CT15,Torque1,Torque2,Torque3,Torque4,Torque5,Torque6,Torque7,Torque8,Torque9,Torque10,Torque11,Torque12,Torque13,Torque14,Torque15
00:43:15,0.0,0.05,0.05,29.1,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,87,12,-22,-29,-456,-29,-1,-15,-121,0,0,0,0,
00:43:45,0.0,0.03,0.03,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-140,86,12,-23,-29,-455,-29,-1,-15,-121,0,0,0,0,
00:44:15,0.0,0.02,0.02,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,86,12,-24,-30,-458,-29,-2,-15,-121,0,0,0,0,
00:44:45,0.02,0.03,0.02,29.1,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-139,86,13,-24,-30,-454,-28,-1,-15,-121,0,0,0,0,
00:45:15,0.0,0.02,0.03,29.0,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-139,86,13,-23,-29,-454,-29,-4,-15,-121,0,0,0,0,
00:45:45,0.02,0.0,0.02,29.2,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-139,86,13,-23,-29,-455,-28,-2,-15,-120,0,0,0,0,
00:46:15,0.0,0.0,0.03,29.1,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-138,87,12,-22,-29,-454,-29,-2,-15,-121,0,0,0,0,
00:46:45,0.03,0.03,0.01,29.1,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-140,87,13,-23,-29,-457,-28,-2,-15,-121,0,0,0,0,
00:47:15,0.0,0.0,0.01,29.1,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-15,-138,87,13,-23,-30,-456,-29,-1,-15,-121,0,0,0,0,
00:47:45,0.01,0.01,0.02,29.1,0.387,0.235,0.681,0.67,0.061,0.244,0.179,0.148,0.217,0.136,0.136,0.074,0.057,0.21,0.259,-14,-140,87,13,-23,-29,-455,-29,-2,-15,-120,0,0,0,0,
